vehicle_id,make,model,year,engine_type,fuel_type,gross_weight,purchase_date,current_mileage,status
TRUCK-0001,Mack,Anthem,2021,Cummins X15,Diesel,62178,2021-05-03,479201,Retired
TRUCK-0002,Kenworth,W990,2016,Cummins X15,Diesel,69336,2022-01-25,403445,Active
TRUCK-0003,Kenworth,T680,2021,PACCAR MX-13,Diesel,55714,2020-07-13,270555,Active
TRUCK-0004,Peterbilt,579,2019,Cummins X15,Diesel,65920,2022-09-15,356702,Active
TRUCK-0005,Volvo,VNR,2019,Detroit DD15,Diesel,70866,2020-12-26,158655,Active
TRUCK-0006,Freightliner,Columbia,2021,PACCAR MX-13,Diesel,30337,2022-04-04,429963,Active
TRUCK-0007,International,RH,2021,Volvo D13,Diesel,35363,2021-08-27,246413,Active
TRUCK-0008,International,HX,2023,PACCAR MX-13,Diesel,74956,2018-01-25,549245,Retired
TRUCK-0009,Volvo,VNR,2018,Detroit DD15,Diesel,59392,2019-02-02,195325,Active
TRUCK-0010,Freightliner,Cascadia,2017,Volvo D13,Diesel,65086,2023-11-29,503457,Maintenance
TRUCK-0011,Mack,Pinnacle,2023,PACCAR MX-13,Diesel,62256,2024-06-29,220116,Retired
TRUCK-0012,Peterbilt,567,2020,Cummins X15,Diesel,45234,2019-10-01,265840,Maintenance
TRUCK-0013,Freightliner,Century,2019,Detroit DD15,Diesel,59271,2023-06-07,412942,Retired
TRUCK-0014,Mack,Anthem,2017,PACCAR MX-13,Diesel,75971,2022-10-24,100599,Retired
TRUCK-0015,Peterbilt,389,2015,Cummins X15,Diesel,49788,2021-03-05,351083,Active
TRUCK-0016,Kenworth,W990,2016,Cummins X15,Diesel,73966,2019-03-05,172574,Retired
TRUCK-0017,Kenworth,T680,2022,Detroit DD15,Diesel,43370,2018-09-15,543692,Active
TRUCK-0018,Mack,Granite,2018,PACCAR MX-13,Diesel,52148,2020-06-08,559381,Retired
TRUCK-0019,Volvo,VNL,2018,Detroit DD15,Diesel,30196,2020-10-31,122056,Retired
TRUCK-0020,Mack,Anthem,2018,Cummins X15,Diesel,30652,2023-12-18,340062,Active
TRUCK-0021,Freightliner,Columbia,2016,Detroit DD15,Diesel,44250,2019-03-07,324643,Retired
TRUCK-0022,Kenworth,W990,2022,Detroit DD15,Diesel,77420,2019-04-27,526833,Active
TRUCK-0023,Freightliner,Cascadia,2021,PACCAR MX-13,Diesel,53759,2020-01-06,589710,Active
TRUCK-0024,International,HX,2016,Cummins X15,Diesel,52386,2020-10-26,214576,Active
TRUCK-0025,Kenworth,T680,2023,Volvo D13,Diesel,35186,2019-11-22,292401,Active
TRUCK-0026,Volvo,VNL,2016,Volvo D13,Diesel,78954,2018-06-14,202664,Active
TRUCK-0027,International,HX,2015,Cummins X15,Diesel,75385,2021-12-21,274389,Maintenance
TRUCK-0028,Volvo,VNR,2018,Volvo D13,Diesel,29842,2022-10-11,497382,Active
TRUCK-0029,Volvo,VNR,2022,PACCAR MX-13,Diesel,53722,2018-05-23,610311,Active
TRUCK-0030,Kenworth,T880,2018,Cummins X15,Diesel,63957,2018-07-18,163918,Active
TRUCK-0031,Freightliner,Cascadia,2022,Detroit DD15,Diesel,29727,2018-12-05,184002,Active
TRUCK-0032,Freightliner,Century,2016,Detroit DD15,Diesel,52461,2023-04-12,358175,Retired
TRUCK-0033,Mack,Anthem,2016,Volvo D13,Diesel,69081,2018-01-29,648177,Active
TRUCK-0034,Peterbilt,579,2020,Detroit DD15,Diesel,43407,2020-03-08,237235,Active
TRUCK-0035,Volvo,VNR,2016,Cummins X15,Diesel,56034,2017-08-28,204837,Active
TRUCK-0036,Mack,Anthem,2023,PACCAR MX-13,Diesel,34680,2020-09-16,172132,Active
TRUCK-0037,Peterbilt,389,2017,Volvo D13,Diesel,61600,2021-03-25,108203,Retired
TRUCK-0038,Peterbilt,567,2016,Detroit DD15,Diesel,43332,2023-05-01,212235,Retired
TRUCK-0039,Kenworth,T880,2019,Detroit DD15,Diesel,73029,2020-10-11,313487,Active
TRUCK-0040,Mack,Pinnacle,2019,Cummins X15,Diesel,32048,2019-11-16,390120,Active
TRUCK-0041,Freightliner,Columbia,2017,PACCAR MX-13,Diesel,36589,2019-09-02,548462,Retired
TRUCK-0042,Freightliner,Cascadia,2016,Detroit DD15,Diesel,61755,2024-03-21,487151,Retired
TRUCK-0043,Mack,Anthem,2021,Detroit DD15,Diesel,28741,2021-03-02,482364,Active
TRUCK-0044,Peterbilt,579,2018,Cummins X15,Diesel,49178,2018-05-06,526117,Retired
TRUCK-0045,International,LT,2018,Detroit DD15,Diesel,78421,2022-08-21,532322,Active
TRUCK-0046,Kenworth,W990,2020,Volvo D13,Diesel,78575,2021-11-03,379766,Active
TRUCK-0047,International,LT,2021,Cummins X15,Diesel,56847,2022-02-16,309267,Maintenance
TRUCK-0048,Peterbilt,389,2018,Detroit DD15,Diesel,27550,2022-06-16,517821,Active
TRUCK-0049,Peterbilt,579,2019,PACCAR MX-13,Diesel,68040,2018-11-29,519093,Retired
TRUCK-0050,Peterbilt,579,2016,PACCAR MX-13,Diesel,37702,2018-02-10,378361,Active
