vehicle_id,date,mileage,maintenance_type,service_category,description,labor_hours,parts_cost,labor_cost,downtime_hours,technician_id,completed
TRUCK-0001,2021-04-13,309987,Inspection,Transmission,Oil change and filter replacement,7.4,430,762,6,TECH-013,False
TRUCK-0001,2023-07-27,321377,Preventive,Electrical,Coolant system flush,3.7,1299,188,33,TECH-020,True
TRUCK-0001,2023-04-28,298692,Emergency,DOT Inspection,Tire rotation and balancing,4.6,225,423,49,TECH-008,True
TRUCK-0001,2021-08-29,296036,Emergency,Engine,Tire rotation and balancing,1.8,487,534,29,TECH-015,True
TRUCK-0001,2021-11-07,300311,Emergency,Electrical,Brake pad replacement,5.1,103,145,65,TECH-018,True
TRUCK-0001,2020-06-29,316399,Corrective,Tires,Brake pad replacement,5.8,1283,687,16,TECH-003,True
TRUCK-0001,2023-11-28,328653,Preventive,Engine,Transmission fluid change,3.4,980,696,62,TECH-020,True
TRUCK-0001,2021-11-02,310578,Corrective,Transmission,Coolant system flush,1.9,1451,276,29,TECH-014,True
TRUCK-0001,2020-01-15,314851,Preventive,Electrical,Engine diagnostic and repair,7.7,377,412,7,TECH-018,False
TRUCK-0001,2022-01-08,330204,Preventive,Brakes,Coolant system flush,6.6,568,555,34,TECH-012,True
TRUCK-0001,2021-06-11,331576,Corrective,Brakes,Electrical system troubleshooting,1.7,1304,225,5,TECH-012,True
TRUCK-0001,2021-12-24,328659,Preventive,DOT Inspection,Brake pad replacement,4.4,1353,327,69,TECH-005,True
TRUCK-0001,2021-05-17,300277,Corrective,Engine,Electrical system troubleshooting,6.2,188,351,47,TECH-002,False
TRUCK-0001,2021-01-15,302567,Emergency,DOT Inspection,DOT annual inspection,7.8,689,109,50,TECH-007,False
TRUCK-0001,2021-01-05,320390,Emergency,Electrical,Brake pad replacement,1.0,258,457,7,TECH-006,True
TRUCK-0001,2020-02-20,326048,Preventive,DOT Inspection,Transmission fluid change,2.6,1371,508,26,TECH-011,False
TRUCK-0001,2020-09-28,298255,Preventive,Brakes,Tire rotation and balancing,3.4,515,609,22,TECH-004,False
TRUCK-0001,2023-02-04,340707,Inspection,Tires,Brake pad replacement,7.2,1339,717,30,TECH-007,True
TRUCK-0001,2023-06-06,318698,Inspection,Tires,Oil change and filter replacement,5.0,1335,152,64,TECH-013,False
TRUCK-0001,2021-01-16,307500,Inspection,Tires,Coolant system flush,3.1,1240,142,53,TECH-012,False
TRUCK-0001,2021-09-23,304790,Corrective,Brakes,Tire rotation and balancing,2.8,1341,796,59,TECH-017,False
TRUCK-0001,2022-02-04,332391,Preventive,Transmission,Tire rotation and balancing,0.8,714,443,66,TECH-018,False
TRUCK-0001,2023-04-13,304933,Inspection,Transmission,Brake pad replacement,5.3,1037,251,16,TECH-020,True
TRUCK-0001,2020-11-04,324035,Corrective,Electrical,Brake pad replacement,3.2,278,236,21,TECH-012,True
TRUCK-0001,2021-08-31,327028,Corrective,Tires,Oil change and filter replacement,2.2,522,299,1,TECH-019,True
TRUCK-0001,2022-12-24,334699,Preventive,Engine,DOT annual inspection,6.5,1039,439,27,TECH-012,True
TRUCK-0001,2023-08-20,316743,Inspection,Tires,Oil change and filter replacement,0.9,216,252,28,TECH-017,False
TRUCK-0001,2022-02-21,341370,Inspection,Tires,DOT annual inspection,1.6,773,635,10,TECH-010,False
TRUCK-0001,2021-06-09,299453,Inspection,Transmission,Brake pad replacement,5.8,1414,229,53,TECH-003,True
TRUCK-0001,2023-04-24,338986,Inspection,Transmission,Transmission fluid change,7.2,863,689,13,TECH-014,True
TRUCK-0001,2022-08-30,327607,Preventive,Tires,Transmission fluid change,7.5,1324,602,26,TECH-019,False
TRUCK-0001,2022-03-14,316589,Preventive,Brakes,Transmission fluid change,3.3,717,152,17,TECH-013,True
TRUCK-0001,2022-04-26,295851,Preventive,Transmission,DOT annual inspection,2.2,1026,528,8,TECH-005,True
TRUCK-0001,2022-05-29,317340,Inspection,DOT Inspection,Brake pad replacement,4.7,1416,481,31,TECH-018,True
TRUCK-0001,2021-03-10,339724,Inspection,Brakes,Coolant system flush,4.0,226,424,63,TECH-006,False
TRUCK-0001,2021-01-11,334220,Emergency,Brakes,Brake pad replacement,2.7,937,470,22,TECH-002,False
TRUCK-0001,2023-10-16,296765,Preventive,Tires,Coolant system flush,2.6,1179,434,59,TECH-009,False
TRUCK-0001,2023-11-16,339206,Corrective,Transmission,Brake pad replacement,3.0,231,385,10,TECH-019,True
TRUCK-0001,2021-10-05,316189,Preventive,Engine,Electrical system troubleshooting,3.6,1162,343,72,TECH-004,True
TRUCK-0001,2022-01-08,294968,Inspection,Engine,Air filter replacement,3.8,990,133,4,TECH-018,True
TRUCK-0001,2022-11-21,293977,Emergency,Engine,Coolant system flush,4.8,661,472,25,TECH-010,True
TRUCK-0001,2021-05-23,320035,Emergency,Transmission,DOT annual inspection,4.3,550,157,25,TECH-009,True
TRUCK-0001,2020-12-30,306754,Emergency,Brakes,Oil change and filter replacement,5.7,1202,726,38,TECH-010,True
TRUCK-0001,2022-05-20,299098,Corrective,Tires,Brake pad replacement,3.4,494,233,64,TECH-020,True
TRUCK-0001,2021-08-27,320166,Emergency,Brakes,Air filter replacement,6.3,172,95,28,TECH-003,True
TRUCK-0001,2021-08-18,314990,Inspection,Brakes,Brake pad replacement,1.7,1243,375,53,TECH-011,True
TRUCK-0001,2020-02-14,303626,Inspection,Brakes,Engine diagnostic and repair,7.6,658,635,63,TECH-016,True
TRUCK-0001,2022-07-14,324403,Emergency,Engine,DOT annual inspection,3.0,200,722,66,TECH-007,True
TRUCK-0001,2023-01-01,330044,Corrective,Transmission,Electrical system troubleshooting,3.6,811,655,1,TECH-015,False
TRUCK-0001,2023-01-17,300386,Inspection,Brakes,Coolant system flush,4.2,768,497,29,TECH-008,True
TRUCK-0001,2022-06-16,328089,Emergency,Transmission,Air filter replacement,1.7,909,271,68,TECH-007,True
TRUCK-0001,2020-04-30,318990,Emergency,Brakes,Engine diagnostic and repair,4.7,312,350,16,TECH-012,False
TRUCK-0001,2023-10-19,294870,Emergency,Brakes,Tire rotation and balancing,7.5,1008,546,59,TECH-009,False
TRUCK-0001,2023-07-23,328589,Corrective,Electrical,DOT annual inspection,3.0,291,97,40,TECH-010,False
TRUCK-0002,2023-01-22,479586,Inspection,Engine,DOT annual inspection,7.5,427,572,38,TECH-012,False
TRUCK-0002,2023-11-03,479034,Preventive,Transmission,Tire rotation and balancing,1.8,686,707,45,TECH-012,True
TRUCK-0002,2021-06-12,452013,Preventive,Transmission,DOT annual inspection,2.4,1031,772,40,TECH-019,False
TRUCK-0002,2022-05-21,453782,Preventive,DOT Inspection,DOT annual inspection,6.6,1064,306,11,TECH-001,False
TRUCK-0002,2022-07-29,487449,Inspection,DOT Inspection,Oil change and filter replacement,1.9,566,717,34,TECH-015,True
TRUCK-0002,2021-12-07,448634,Preventive,DOT Inspection,Oil change and filter replacement,3.1,961,108,36,TECH-004,False
TRUCK-0002,2022-12-30,484990,Corrective,Brakes,DOT annual inspection,4.8,1322,170,43,TECH-012,False
TRUCK-0002,2023-11-14,455067,Inspection,Transmission,Transmission fluid change,6.3,432,325,51,TECH-014,True
TRUCK-0002,2020-06-27,457384,Corrective,Engine,Oil change and filter replacement,1.0,806,720,54,TECH-002,True
TRUCK-0002,2020-08-29,449699,Corrective,DOT Inspection,Electrical system troubleshooting,5.5,398,499,71,TECH-006,True
TRUCK-0002,2021-11-22,473648,Inspection,Engine,Electrical system troubleshooting,7.8,97,794,3,TECH-005,False
TRUCK-0002,2020-01-06,466266,Preventive,Transmission,Electrical system troubleshooting,3.8,540,527,66,TECH-008,True
TRUCK-0002,2021-04-28,470638,Preventive,Engine,Oil change and filter replacement,3.8,375,568,49,TECH-016,True
TRUCK-0002,2022-06-22,486971,Inspection,Tires,Engine diagnostic and repair,6.7,523,229,27,TECH-001,False
TRUCK-0002,2020-09-11,470282,Inspection,Brakes,Brake pad replacement,2.9,64,520,72,TECH-005,True
TRUCK-0002,2021-11-09,457179,Inspection,DOT Inspection,Coolant system flush,5.7,527,626,10,TECH-005,True
TRUCK-0002,2022-07-15,487944,Inspection,Brakes,Tire rotation and balancing,3.6,562,766,20,TECH-008,True
TRUCK-0002,2022-11-19,457177,Corrective,Transmission,DOT annual inspection,5.2,1146,337,66,TECH-012,True
TRUCK-0002,2020-06-21,462168,Preventive,Engine,Transmission fluid change,0.7,183,186,41,TECH-014,True
TRUCK-0002,2020-06-07,460834,Corrective,DOT Inspection,Electrical system troubleshooting,5.3,196,210,68,TECH-009,False
TRUCK-0002,2021-12-21,493292,Inspection,DOT Inspection,Air filter replacement,1.1,1159,795,53,TECH-003,False
TRUCK-0002,2020-01-12,462197,Preventive,DOT Inspection,Electrical system troubleshooting,4.1,89,706,63,TECH-015,True
TRUCK-0002,2022-05-28,485630,Preventive,Electrical,Electrical system troubleshooting,3.6,562,351,47,TECH-005,True
TRUCK-0002,2023-06-14,479068,Emergency,Electrical,Engine diagnostic and repair,1.6,161,302,28,TECH-012,True
TRUCK-0002,2022-07-02,467138,Preventive,DOT Inspection,Electrical system troubleshooting,4.3,1429,281,72,TECH-020,True
TRUCK-0002,2023-06-27,486867,Corrective,Transmission,Brake pad replacement,1.1,1493,251,27,TECH-011,True
TRUCK-0002,2023-09-13,471942,Corrective,Tires,Oil change and filter replacement,2.8,205,762,27,TECH-009,True
